Name,CategoriesTags,Address,City,State,Country,Zip,Phone,Fax,email,website,External URL,description,Operating Hours
 Remedy True Health,,573 Hwy 51 Suite D ,Ridgeland,MO,,39157,601-790-9140,,,,http://www.coloradospineanddisc.com/request-appointment-.html, ,
 Remedy True Health,,573 Hwy 51 Suite D ,Ridgeland,MO,,39157,601-790-9140,,,,,,
2Revive,,"2300 Haggerty Road, Suite 2100",W. Bloomfield,MI,,48323,248-624-7246,,,,,,
360 Medical Wellness & Anti-Aging,,"11711 Shadow Creek Parkway, Suite 147",Pearland,TX,,77584,832-243-4969,,,,,,
360 Wellness,,855 Belanger St. Suite 108,Houma,LA,,70360,985-855-3604,,,https://www.vagaro.com/360wellnessclinic,,,
4 Beauty- Dr. Mendieta,,2310 South Dixie Highway,Miami,FL,,33133,786-410-6760,,,www.buttsbymendieta.com,,,
4 Beauty- Dr. Mendieta,,2310 South Dixie Highway,Miami,FL,,33133,786-410-6760,,,www.buttsbymendieta.com,,,
4 U Med Clinic,,1524 Kingwood Dr.,Kingwood,TX,,77339,281-247-7289,,,http://www.4umedclinic.com ,,,
4 U Med Clinic,,1524 Kingwood Dr.,Kingwood,TX,,77339,281-247-7289,,,http://www.4umedclinic.com ,,,
4 U Med Clinic,,1524 Kingwood Dr.,Kingwood,TX,,77339,281-247-7289,,,http://www.4umedclinic.com ,,,
A Better You,,1114 Town Center Blvd. Suite G,Odenton,MD,,21113,410-672-2700,,,www.abetteryou-llc.com,,,
A Family Healing Center,,"2525 NW Lovejoy, Suite 208",Portland,OR,,97210,503-241-5007,,,www.afamilyhealingcenter.com,,,
A Family Healing Center,,"2525 NW Lovejoy, Suite 208",Portland,OR,,97210,503-241-5007,,,www.afamilyhealingcenter.com,,,
A New Beginning Women's Healthcare,,11401 S Western Ave.,Oklahoma City,OK,,73170,405-735-3041,,,,,,
A New Beginning Women's Healthcare,,11401 S Western Ave.,Oklahoma City,OK,,73170,405-735-3041,,,,,,
